id,marka,model,buraxilish_ili,sheher,qiymet,reng,yurush,muherrik_hecmi,at_gucu,benzin_tipi,suretler_qutusu,yeni,veziyyeti,elana_baxish_sayi
8406280,Mercedes,GLC 63 S AMG 4MATIC+,2018,Bakı,113900,Yaş Asfalt,37900,4.0,510,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",4209
7941503,Mercedes,GLE 53 AMG 4MATIC Coupe,2023,Bakı,241123,Qara,0,3.0,435,Benzin,Avtomat,Bəli,"Vuruğu yoxdur, rənglənməyib",1689
8751145,Mercedes,C 220 d,1999,Xırdalan,11800,Qara,396120,2.2,125,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",126
8751133,Mercedes,C 240,2000,Mingəçevir,10300,Gümüşü,287000,2.6,170,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",143
8751138,Mercedes,E 220 d,2008,Bakı,18000,Qara,620000,2.2,150,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",104
8685299,Mercedes,GLE 350 4MATIC,2018,Sumqayıt,77010,Ağ,122103,3.0,249,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",3292
8749717,Mercedes,CLS 53 AMG 4MATIC+,2019,Bakı,141100,Ağ,51000,3.0,435,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",701
8715670,Mercedes,E 220 d,2015,Sumqayıt,34500,Ağ,109100,2.2,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",4225
8749775,Mercedes,E 320,2000,Bakı,20000,Gümüşü,300000,3.2,224,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1081
8698267,Mercedes,C 300,2021,Bakı,59840,Göy,53750,2.0,245,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",9056
8376797,Mercedes,Vito,2008,Ağdaş,23900,Gümüşü,301107,2.2,150,Dizel,Mexaniki,Xeyr,"Vuruğu yoxdur, rənglənib",1186
8745013,Mercedes,Actros 2544,2008,Bakı,92000,Ağ,1090000,12.0,410,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",718
8662289,Mercedes,E 240,1998,Bakı,11500,Gümüşü,342000,2.4,170,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1866
8608300,Mercedes,GLC 300 4MATIC,2021,Bakı,98430,Ağ,900,2.0,249,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2896
8744768,Mercedes,CLA 250,2014,Bakı,29900,Qara,182000,2.0,211,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1021
8602380,Mercedes,Vito,2011,Bakı,26000,Qara,208000,2.2,163,Dizel,Mexaniki,Xeyr,"Vuruğu yoxdur, rənglənməyib",2323
8599600,Mercedes,E 220 d,2008,Bakı,24820,Qara,308000,2.2,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1519
8278257,Mercedes,E 200 d,2016,Bakı,49300,Qara,175000,2.0,150,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",732
8703927,Mercedes,GL 550,2012,Bakı,33830,Qara,179000,5.5,388,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",4764
8748816,Mercedes,E 220 d,2001,Bakı,14500,Qara,440452,2.2,143,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",239
8742769,Mercedes,E 300,2018,Bakı,56666,Qara,172700,2.0,245,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2161
